,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,959,443,1200,383,1227,492,987,552,DC4S,0
1,1373,555,1437,401,1623,478,1559,632,Others,0
2,1504,612,1513,509,1618,518,1608,622,Others,0
3,651,774,747,602,852,659,756,832,NAK,0
4,1722,828,1815,820,1822,897,1729,905,Others,0
5,634,868,720,868,720,976,634,976,Others,0
6,1741,906,1834,906,1834,983,1741,983,Others,0
7,616,1029,726,1029,726,1147,616,1147,Others,0
8,614,1100,723,1067,790,1290,680,1323,Others,0
9,1700,1233,1761,1233,1761,1286,1700,1286,Others,0
10,717,1279,822,1279,822,1396,717,1396,Others,0
11,1657,1326,1711,1326,1711,1373,1657,1373,Others,0
12,876,1443,938,1443,938,1510,876,1510,Others,0
13,924,1467,1000,1467,1000,1553,924,1553,Others,0
