,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1463,484,1553,484,1553,589,1463,589,Others,0
1,630,785,813,529,928,611,745,867,ItemSize,0
2,1678,736,1792,736,1792,851,1678,851,Others,0
3,648,801,749,801,749,903,648,903,Others,0
4,1684,789,1814,761,1867,1006,1737,1034,Others,0
5,612,894,726,894,726,1021,612,1021,Others,0
6,631,1064,712,1064,712,1126,631,1126,Others,0
7,675,1112,714,1112,714,1155,675,1155,Others,0
8,632,1143,729,1128,741,1207,645,1221,Others,0
9,646,1195,745,1177,758,1256,660,1273,Others,0
10,1598,1387,1685,1202,1813,1262,1726,1447,Others,0
11,794,1513,864,1387,1074,1503,1005,1629,Others,0
12,1228,1546,1470,1488,1496,1598,1254,1656,DC4S,0
