464,160,561,138,579,223,483,244,Others,0
736,199,762,137,912,200,885,262,Others,0
974,325,1032,325,1032,382,974,382,Others,0
989,361,1056,361,1056,427,989,427,Others,0
240,458,296,318,365,345,309,486,DC4S,0
998,415,1067,398,1098,522,1029,539,Others,0
212,495,323,495,323,611,212,611,Others,0
1018,522,1102,522,1102,618,1018,618,Others,0
1020,653,1069,653,1069,698,1020,698,Others,0
245,660,317,638,350,750,278,772,NAK,0
425,923,446,864,603,921,582,980,Others,0
742,911,854,874,877,943,766,981,Others,0
