1251,335,1281,223,1561,299,1531,411,Others,0
738,333,917,282,961,438,783,489,Others,0
1729,506,1816,506,1816,592,1729,592,Others,0
1733,650,1754,546,1885,572,1864,676,Others,0
1824,664,1919,653,1928,739,1833,749,Others,0
1857,757,1948,741,1962,814,1870,831,Others,0
417,949,479,689,595,717,534,976,DC4S,0
1887,876,1982,876,1982,986,1887,986,Others,0
374,1008,589,1008,589,1231,374,1231,Others,0
1910,1106,1974,1106,1974,1158,1910,1158,Others,0
463,1322,591,1258,690,1456,562,1520,NAK,0
1466,1661,1636,1548,1702,1647,1532,1760,Others,0
899,1759,920,1653,1196,1707,1175,1813,Others,0
