,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1252,380,1391,380,1391,481,1252,481,Others,0
1,768,526,1076,365,1136,481,828,641,ItemSize,0
2,1667,675,1765,653,1785,738,1686,761,Others,0
3,1703,712,1796,712,1796,793,1703,793,Others,0
4,587,947,647,722,757,752,697,976,Others,0
5,551,965,752,965,752,1171,551,1171,Others,0
6,1718,1256,1765,1032,1858,1052,1811,1275,Others,0
7,651,1224,780,1224,780,1361,651,1361,Others,0
8,1398,1518,1585,1419,1636,1517,1449,1615,NAK,0
9,935,1594,966,1473,1202,1535,1170,1656,Others,0
