,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1307,513,1338,391,1508,433,1478,556,Others,0
1,1614,615,1718,615,1718,715,1614,715,Others,0
2,694,634,795,634,795,771,694,771,Others,0
3,1641,677,1754,677,1754,782,1641,782,Others,0
4,1675,733,1777,733,1777,823,1675,823,Others,0
5,1681,780,1799,763,1814,872,1696,889,Others,0
6,572,976,658,675,783,710,697,1011,ItemSize,0
7,1718,910,1828,910,1828,1045,1718,1045,Others,0
8,602,969,698,969,698,1078,602,1078,Others,0
9,626,1148,713,1135,724,1204,637,1217,Others,0
10,1640,1289,1697,1069,1842,1107,1785,1326,NAK,0
11,629,1220,740,1171,806,1320,695,1369,Others,0
12,1308,1508,1539,1408,1585,1515,1355,1615,DC4S,0
13,886,1546,935,1423,1147,1508,1098,1631,Others,0
