,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1231,377,1256,267,1505,322,1481,433,DC4S,0
1,684,446,879,335,948,455,752,566,NAK,0
2,1730,635,1843,562,1932,701,1818,774,Others,0
3,414,1070,463,784,574,803,524,1089,Others,0
4,1840,1353,1900,1065,2014,1088,1953,1377,Others,0
5,529,1386,607,1386,607,1463,529,1463,Others,0
6,518,1431,635,1388,692,1541,574,1585,Others,0
7,1530,1678,1596,1678,1596,1745,1530,1745,Others,0
8,1437,1690,1547,1690,1547,1802,1437,1802,Others,0
9,1090,1848,1097,1741,1260,1750,1254,1858,Others,0
