,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1010,430,1167,403,1186,516,1028,542,Others,0
1,1347,521,1402,414,1656,545,1600,652,Others,0
2,1632,634,1727,634,1727,736,1632,736,Others,0
3,1689,801,1822,777,1860,988,1727,1012,NAK,0
4,612,965,717,965,717,1075,612,1075,Others,0
5,594,1018,719,993,767,1241,642,1265,ItemSize,0
6,677,1187,768,1187,768,1316,677,1316,Others,0
7,1586,1397,1716,1175,1825,1239,1696,1461,DC4S,0
8,857,1522,913,1425,1059,1508,1003,1605,Others,0
9,1242,1528,1457,1487,1479,1601,1263,1642,Others,0
