,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,887,470,1126,385,1164,490,924,575,Others,0
1,1363,520,1409,412,1595,491,1549,600,NAK,0
2,747,502,900,502,900,650,747,650,Others,0
3,601,818,673,668,787,723,715,872,Others,0
4,1662,735,1794,695,1871,949,1740,989,DC4S,0
5,1705,962,1887,962,1887,1163,1705,1163,Others,0
6,618,1238,710,1195,772,1331,680,1373,Others,0
7,1695,1251,1777,1251,1777,1332,1695,1332,Others,0
8,768,1521,824,1403,1151,1558,1095,1676,ItemSize,0
9,1278,1549,1493,1488,1526,1604,1311,1665,Others,0
