966,429,1202,379,1225,484,989,534,DC4S,0
1444,558,1503,449,1633,519,1574,628,Others,0
564,693,903,383,1050,544,711,854,Others,0
1709,802,1838,786,1868,1019,1739,1036,Others,0
521,796,765,796,765,1045,521,1045,Others,0
567,1018,678,995,736,1269,625,1292,Others,0
1711,1190,1807,1190,1807,1289,1711,1289,Others,0
1683,1262,1773,1262,1773,1354,1683,1354,Others,0
650,1273,793,1273,793,1434,650,1434,Others,0
1544,1441,1696,1280,1779,1359,1627,1520,ItemSize,0
806,1555,838,1435,976,1473,943,1592,Others,0
1319,1561,1453,1503,1493,1592,1358,1651,Others,0
