,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1098,386,1291,379,1295,492,1102,499,NAK,0
1,1443,548,1538,447,1744,640,1649,741,DC4S,0
2,626,714,822,465,941,558,745,808,Others,0
3,592,940,698,940,698,1026,592,1026,Others,0
4,1706,878,1836,878,1836,1101,1706,1101,Others,0
5,596,1000,699,1000,699,1086,596,1086,Others,0
6,1610,1367,1633,1293,1716,1318,1694,1392,Others,0
7,1596,1348,1667,1348,1667,1415,1596,1415,Others,0
8,1512,1391,1608,1375,1626,1483,1530,1499,Others,0
9,1040,1611,1041,1493,1391,1495,1390,1613,ItemSize,0
