,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1227,475,1252,365,1482,417,1457,527,DC4S,0
1,798,518,973,413,1037,520,862,625,NAK,0
2,1670,661,1775,661,1775,761,1670,761,Others,0
3,578,1012,619,765,734,783,693,1031,Others,0
4,554,1002,736,1002,736,1196,554,1196,Others,0
5,1707,1248,1758,1023,1869,1048,1818,1273,Others,0
6,667,1254,763,1254,763,1345,667,1345,Others,0
7,681,1306,778,1282,800,1369,702,1393,Others,0
8,1341,1541,1661,1346,1725,1451,1406,1647,ItemSize,0
9,1082,1638,1090,1532,1254,1543,1246,1650,Others,0
