,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1272,519,1316,394,1533,470,1490,595,Others,0
1,826,506,1067,400,1121,524,881,629,DC4S,0
2,1633,701,1726,673,1749,751,1656,779,Others,0
3,1653,746,1751,713,1780,799,1682,832,Others,0
4,588,918,640,706,784,742,732,954,NAK,0
5,1694,811,1791,805,1796,883,1699,889,Others,0
6,602,978,707,978,707,1086,602,1086,Others,0
7,1721,1128,1742,1036,1816,1052,1796,1145,Others,0
8,1695,1198,1722,1119,1813,1149,1787,1228,Others,0
9,618,1169,720,1150,736,1241,634,1259,Others,0
10,1667,1296,1677,1218,1773,1230,1764,1308,Others,0
11,617,1228,727,1170,840,1385,730,1443,Others,0
12,1630,1287,1729,1287,1729,1383,1630,1383,Others,0
13,758,1374,877,1364,889,1496,770,1507,Others,0
14,907,1583,940,1468,1136,1524,1103,1639,Others,0
