,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1231,494,1257,385,1480,439,1453,548,Others,0
1,798,536,1000,414,1070,529,868,652,Others,0
2,1567,577,1669,560,1691,700,1590,717,Others,0
3,1619,631,1732,631,1732,736,1619,736,Others,0
4,1673,738,1762,711,1785,785,1696,813,Others,0
5,1706,811,1805,794,1818,871,1719,887,Others,0
6,613,928,649,742,770,766,734,952,Others,0
7,663,1281,757,1220,852,1366,758,1428,Others,0
8,1413,1484,1561,1393,1627,1501,1479,1592,Others,0
9,969,1591,990,1476,1265,1526,1244,1642,Others,0
