,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1133,490,1152,371,1488,423,1470,542,ItemSize,0
1,1000,512,1029,384,1147,411,1119,539,Others,0
2,749,578,948,433,1027,541,828,685,Others,0
3,1622,573,1679,573,1679,637,1622,637,Others,0
4,594,886,718,886,718,1012,594,1012,Others,0
5,682,1279,774,1279,774,1361,682,1361,Others,0
6,676,1364,760,1285,901,1436,816,1515,Others,0
7,1468,1510,1666,1357,1734,1446,1537,1598,Others,0
8,857,1587,881,1442,1041,1469,1017,1614,Others,0
9,1047,1645,1061,1532,1260,1557,1246,1670,NAK,0
