,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,499,150,609,123,625,188,515,216,NAK,0
1,779,203,814,139,943,208,909,272,DC4S,0
2,286,364,323,285,381,311,345,391,Others,0
3,276,402,291,353,345,369,330,418,Others,0
4,270,384,328,384,328,441,270,441,Others,0
5,1016,419,1065,405,1076,445,1027,459,Others,0
6,1022,436,1077,433,1079,479,1025,482,Others,0
7,232,459,316,459,316,549,232,549,Others,0
8,243,607,309,594,330,700,265,713,Others,0
9,481,930,506,874,590,912,565,968,Others,0
10,671,921,853,880,866,935,684,976,ItemSize,0
