,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,781,341,936,248,995,347,840,440,Others,0
1,1427,372,1488,250,1689,350,1628,473,Others,0
2,583,617,594,473,703,481,692,626,Others,0
3,497,672,569,515,675,563,603,720,ItemSize,0
4,491,730,498,639,598,646,591,737,Others,0
5,1815,640,1931,640,1931,755,1815,755,Others,0
6,458,746,544,717,570,794,484,823,Others,0
7,1818,713,1930,680,1983,858,1871,892,Others,0
8,1877,827,1974,827,1974,908,1877,908,Others,0
9,406,1065,530,1037,597,1328,474,1357,Others,0
10,1743,1430,1825,1238,1947,1291,1865,1482,NAK,0
11,745,1673,795,1547,949,1608,898,1734,Others,0
12,1269,1683,1512,1617,1541,1727,1299,1793,DC4S,0
