,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,968,449,1102,429,1115,520,982,540,Others,0
1,1342,517,1383,413,1604,498,1563,602,Others,0
2,757,582,883,532,929,647,803,697,Others,0
3,1593,561,1738,561,1738,690,1593,690,Others,0
4,634,865,653,781,749,803,731,886,Others,0
5,623,819,734,819,734,929,623,929,Others,0
6,589,933,728,933,728,1086,589,1086,Others,0
7,1733,1234,1737,978,1901,980,1897,1237,Others,0
8,610,1081,702,1074,707,1143,615,1150,Others,0
9,658,1125,706,1125,706,1174,658,1174,Others,0
10,620,1165,713,1144,730,1219,636,1239,Others,0
11,658,1241,750,1241,750,1322,658,1322,Others,0
12,854,1569,905,1459,1113,1555,1062,1665,Others,0
13,1369,1536,1494,1536,1494,1651,1369,1651,Others,0
