,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,905,470,1229,383,1260,499,936,586,ItemSize,0
1,1363,527,1393,426,1536,468,1507,569,Others,0
2,698,658,792,625,828,727,734,760,Others,0
3,655,696,784,696,784,820,655,820,Others,0
4,643,764,740,748,755,837,658,853,Others,0
5,1729,837,1830,825,1841,908,1740,920,Others,0
6,1747,891,1839,886,1843,950,1750,956,Others,0
7,559,857,750,857,750,1055,559,1055,Others,0
8,1713,1018,1909,1018,1909,1224,1713,1224,Others,0
9,618,1139,701,1139,701,1216,618,1216,Others,0
10,1659,1335,1740,1335,1740,1416,1659,1416,Others,0
11,794,1536,850,1429,1070,1545,1014,1652,DC4S,0
12,1264,1572,1452,1525,1480,1637,1292,1684,NAK,0
