,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1266,344,1301,227,1583,310,1548,427,Others,0
1,757,326,930,277,972,427,800,476,Others,0
2,1730,519,1836,519,1836,624,1730,624,Others,0
3,1731,663,1761,562,1897,603,1867,704,Others,0
4,1823,695,1919,679,1933,764,1837,780,Others,0
5,1861,758,1899,758,1899,803,1861,803,Others,0
6,411,923,481,665,601,697,530,955,DC4S,0
7,1856,780,1951,767,1963,846,1868,860,Others,0
8,1867,1205,1884,1035,2002,1047,1985,1217,Others,0
9,459,1293,578,1243,659,1438,540,1488,NAK,0
10,1435,1669,1614,1580,1663,1679,1484,1769,Others,0
11,865,1745,891,1644,1161,1713,1135,1815,Others,0
