,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1136,328,1357,328,1357,543,1136,543,Others,0
1,910,447,1098,386,1135,500,948,561,NAK,0
2,1336,495,1384,386,1610,485,1561,595,DC4S,0
3,734,494,930,494,930,680,734,680,Others,0
4,666,680,771,680,771,788,666,788,Others,0
5,618,817,710,817,710,898,618,898,Others,0
6,538,894,734,894,734,1093,538,1093,Others,0
7,1714,953,1904,953,1904,1139,1714,1139,Others,0
8,615,1170,710,1151,725,1226,630,1245,Others,0
9,1686,1292,1745,1141,1843,1180,1785,1330,Others,0
10,628,1208,730,1195,740,1278,638,1291,Others,0
11,1671,1271,1778,1271,1778,1377,1671,1377,Others,0
12,1247,1559,1567,1444,1607,1555,1286,1669,ItemSize,0
13,951,1615,980,1498,1148,1540,1119,1657,Others,0
