848,487,1196,373,1237,497,889,611,ItemSize,0
681,678,779,646,815,754,717,786,Others,0
658,741,763,741,763,841,658,841,Others,0
1687,749,1800,749,1800,854,1687,854,Others,0
639,872,646,788,743,796,737,880,Others,0
1706,801,1826,801,1826,921,1706,921,Others,0
624,937,701,937,701,1020,624,1020,Others,0
634,1109,723,1109,723,1190,634,1190,Others,0
1617,1351,1736,1066,1862,1119,1743,1404,Others,0
639,1183,758,1166,777,1300,658,1317,Others,0
846,1525,893,1418,1120,1519,1073,1626,DC4S,0
1299,1522,1489,1464,1523,1577,1333,1635,NAK,0
