,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1251,335,1281,223,1561,299,1531,411,Others,0
1,738,333,917,282,961,438,783,489,Others,0
2,1729,506,1816,506,1816,592,1729,592,Others,0
3,1733,650,1754,546,1885,572,1864,676,Others,0
4,1824,664,1919,653,1928,739,1833,749,Others,0
5,1857,757,1948,741,1962,814,1870,831,Others,0
6,417,949,479,689,595,717,534,976,DC4S,0
7,1887,876,1982,876,1982,986,1887,986,Others,0
8,374,1008,589,1008,589,1231,374,1231,Others,0
9,1910,1106,1974,1106,1974,1158,1910,1158,Others,0
10,463,1322,591,1258,690,1456,562,1520,NAK,0
11,1466,1661,1636,1548,1702,1647,1532,1760,Others,0
12,899,1759,920,1653,1196,1707,1175,1813,Others,0
