,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1069,423,1311,405,1319,510,1077,528,DC4S,0
1,1498,498,1646,498,1646,656,1498,656,Others,0
2,690,692,832,526,935,614,793,780,NAK,0
3,1738,882,1834,882,1834,969,1738,969,Others,0
4,1740,927,1847,927,1847,1023,1740,1023,Others,0
5,602,802,759,801,763,1245,606,1247,Others,0
6,1725,960,1855,952,1865,1108,1735,1116,Others,0
7,685,1235,780,1235,780,1338,685,1338,Others,0
8,1631,1396,1652,1313,1732,1333,1711,1416,Others,0
9,1625,1367,1683,1367,1683,1428,1625,1428,Others,0
10,787,1380,887,1380,887,1483,787,1483,Others,0
11,1550,1392,1666,1374,1682,1475,1565,1493,Others,0
12,813,1424,919,1391,956,1509,850,1542,Others,0
13,1524,1461,1582,1453,1591,1518,1533,1526,Others,0
