,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1179,364,1183,294,1306,301,1302,371,NAK,0
1,823,407,976,333,1007,397,854,471,Others,0
2,1726,637,1789,605,1859,747,1796,779,DC4S,0
3,1783,785,1910,768,1931,921,1804,938,Others,0
4,1829,980,1896,980,1896,1037,1829,1037,Others,0
5,1831,1010,1893,1010,1893,1067,1831,1067,Others,0
6,510,1077,605,1077,605,1188,510,1188,Others,0
7,580,1238,666,1238,666,1329,580,1329,Others,0
8,1689,1388,1737,1388,1737,1437,1689,1437,Others,0
9,1390,1590,1589,1489,1623,1555,1423,1656,ItemSize,0
