,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,997,424,1328,391,1338,493,1008,526,ItemSize,0
1,1511,581,1531,502,1605,521,1585,599,Others,0
2,653,707,813,530,902,610,742,788,Others,0
3,605,793,729,793,729,929,605,929,Others,0
4,1746,915,1855,906,1863,998,1753,1007,Others,0
5,1762,961,1847,961,1847,1032,1762,1032,Others,0
6,577,1025,698,1012,712,1143,591,1156,Others,0
7,1575,1449,1682,1313,1753,1369,1646,1505,Others,0
8,721,1446,792,1358,985,1514,914,1602,Others,0
9,1180,1562,1371,1541,1384,1660,1192,1680,NAK,0
