,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,895,297,1097,242,1130,364,928,418,Others,0
1,1399,359,1448,254,1708,377,1659,482,Others,0
2,462,867,511,711,612,743,563,898,Others,0
3,1830,713,1981,672,2044,898,1893,940,NAK,0
4,423,863,600,863,600,1071,423,1071,Others,0
5,1882,1000,2054,1000,2054,1182,1882,1182,Others,0
6,465,1066,557,1066,557,1157,465,1157,Others,0
7,514,1263,597,1263,597,1335,514,1335,Others,0
8,1758,1474,1865,1195,2025,1256,1918,1535,Others,0
9,741,1675,794,1560,1063,1685,1009,1800,Others,0
10,1359,1672,1533,1635,1565,1789,1392,1825,Others,0
