,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1002,433,1107,354,1181,453,1076,532,Others,0
1,1136,494,1148,387,1412,416,1400,523,Others,0
2,1400,567,1419,435,1591,460,1572,592,Others,0
3,1695,798,1867,798,1867,986,1695,986,Others,0
4,1716,1231,1745,1000,1849,1013,1821,1244,Others,0
5,633,1224,720,1214,728,1278,640,1288,Others,0
6,664,1278,771,1278,771,1383,664,1383,Others,0
7,723,1361,809,1361,809,1450,723,1450,Others,0
8,774,1544,845,1401,1005,1481,934,1624,Others,0
9,1009,1634,1023,1534,1256,1565,1242,1665,Others,0
