,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1033,393,1263,363,1277,471,1047,501,DC4S,0
1,843,427,1012,427,1012,594,843,594,Others,0
2,1484,558,1544,453,1676,528,1616,634,Others,0
3,656,688,793,517,903,605,766,776,NAK,0
4,1733,832,1850,817,1880,1042,1763,1057,Others,0
5,585,948,692,934,730,1218,623,1232,Others,0
6,1717,1143,1795,1065,1871,1141,1793,1220,Others,0
7,1708,1216,1799,1216,1799,1306,1708,1306,Others,0
8,1565,1432,1708,1254,1792,1321,1649,1499,ItemSize,0
9,1571,1410,1643,1410,1643,1496,1571,1496,Others,0
10,773,1479,839,1375,976,1462,911,1566,Others,0
11,1296,1534,1451,1496,1477,1603,1323,1641,Others,0
