,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,937,438,1113,401,1142,536,966,573,Others,0
1,1292,502,1338,390,1610,503,1563,615,Others,0
2,1661,743,1805,707,1860,925,1716,961,NAK,0
3,618,1031,717,1031,717,1117,618,1117,Others,0
4,632,1110,737,1110,737,1206,632,1206,Others,0
5,654,1178,761,1169,771,1296,664,1305,Others,0
6,1612,1363,1718,1102,1859,1159,1754,1420,Others,0
7,710,1239,796,1239,796,1364,710,1364,Others,0
8,911,1560,949,1456,1110,1515,1072,1619,Others,0
9,1296,1520,1496,1464,1526,1575,1327,1630,Others,0
