,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1069,389,1282,371,1291,479,1078,497,Others,0
1,1300,347,1518,347,1518,562,1300,562,Others,0
2,860,398,1061,398,1061,604,860,604,Others,0
3,1515,478,1622,478,1622,583,1515,583,Others,0
4,1590,631,1606,537,1690,551,1674,645,Others,0
5,1651,607,1743,607,1743,693,1651,693,Others,0
6,1657,631,1867,631,1867,855,1657,855,Others,0
7,573,726,803,726,803,965,573,965,Others,0
8,597,959,707,946,735,1179,625,1192,Others,0
9,627,1182,823,1182,823,1394,627,1394,Others,0
10,1628,1343,1722,1343,1722,1434,1628,1434,Others,0
11,748,1465,823,1345,1019,1468,944,1587,Others,0
12,941,1662,967,1460,1194,1489,1168,1691,Others,0
13,1168,1552,1439,1511,1455,1618,1184,1658,Others,0
