,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,962,235,1124,208,1146,340,984,367,Others,0
1,1452,361,1513,257,1764,405,1702,509,Others,0
2,461,704,611,453,732,526,582,777,DC4S,0
3,1848,667,1939,667,1939,790,1848,790,Others,0
4,1866,737,1976,737,1976,847,1866,847,Others,0
5,423,808,561,808,561,937,423,937,Others,0
6,1898,846,1990,846,1990,927,1898,927,Others,0
7,1907,941,1995,941,1995,1013,1907,1013,Others,0
8,417,1067,561,1047,591,1267,447,1287,NAK,0
9,1842,1267,1923,1267,1923,1354,1842,1354,Others,0
10,696,1610,748,1514,999,1650,947,1746,Others,0
11,1261,1680,1480,1634,1504,1748,1285,1794,Others,0
