,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1143,470,1153,364,1371,386,1361,492,Others,0
1,948,377,1102,377,1102,530,948,530,Others,0
2,758,489,902,489,902,618,758,618,Others,0
3,1486,550,1576,463,1710,600,1620,687,ItemSize,0
4,1633,627,1722,627,1722,714,1633,714,Others,0
5,1671,701,1768,694,1775,776,1677,784,Others,0
6,564,1076,580,836,694,843,678,1083,DC4S,0
7,1740,925,1836,925,1836,1016,1740,1016,Others,0
8,1754,984,1824,984,1824,1042,1754,1042,Others,0
9,553,1080,744,1080,744,1284,553,1284,Others,0
10,644,1355,733,1267,883,1417,795,1506,Others,0
11,1484,1465,1598,1366,1668,1446,1554,1545,Others,0
12,1032,1629,1038,1529,1288,1541,1283,1642,Others,0
