,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1155,500,1169,387,1395,415,1381,528,Others,0
1,727,603,923,450,1011,563,815,716,Others,0
2,1474,576,1558,482,1715,623,1631,717,Others,0
3,1644,655,1734,655,1734,741,1644,741,Others,0
4,1684,733,1775,733,1775,809,1684,809,Others,0
5,597,1088,614,836,735,844,718,1096,DC4S,0
6,635,1131,737,1131,737,1231,635,1231,Others,0
7,672,1332,778,1249,916,1423,810,1507,NAK,0
8,1557,1386,1652,1386,1652,1483,1557,1483,Others,0
9,1510,1418,1616,1418,1616,1526,1510,1526,Others,0
10,1057,1627,1061,1512,1333,1523,1328,1638,Others,0
