,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,877,340,1021,301,1048,399,904,438,Others,0
1,1497,440,1569,330,1751,448,1680,558,Others,0
2,517,656,683,446,786,528,621,737,ItemSize,0
3,525,623,635,623,635,736,525,736,Others,0
4,480,735,580,695,616,784,516,825,Others,0
5,1843,762,1947,742,1991,970,1886,990,Others,0
6,439,843,545,843,545,965,439,965,Others,0
7,1887,917,1992,910,2000,1022,1895,1030,Others,0
8,426,1056,527,1045,544,1215,444,1226,Others,0
9,438,1170,531,1147,574,1316,480,1340,Others,0
10,1727,1513,1830,1354,1922,1414,1819,1573,NAK,0
11,738,1676,767,1604,873,1646,844,1719,Others,0
12,1224,1737,1466,1695,1485,1805,1243,1846,DC4S,0
