,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1151,402,1153,330,1301,335,1299,407,Others,0
1,1490,477,1523,405,1613,445,1580,518,Others,0
2,1734,629,1786,629,1786,686,1734,686,Others,0
3,585,730,646,609,724,648,663,770,NAK,0
4,1796,752,1855,752,1855,809,1796,809,Others,0
5,1843,932,1899,932,1899,984,1843,984,Others,0
6,1847,978,1899,978,1899,1035,1847,1035,Others,0
7,529,940,596,940,596,1094,529,1094,Others,0
8,1847,1088,1890,1088,1890,1136,1847,1136,Others,0
9,1179,1663,1217,1663,1217,1703,1179,1703,Others,0
