,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1453,554,1538,448,1710,587,1626,692,Others,0
1,615,771,911,424,1029,525,734,872,ItemSize,0
2,1701,791,1830,772,1873,1064,1745,1083,Others,0
3,625,1048,629,976,719,982,715,1053,Others,0
4,1760,1098,1779,1029,1827,1043,1807,1111,Others,0
5,629,1051,729,1051,729,1137,629,1137,Others,0
6,640,1106,737,1106,737,1187,640,1187,Others,0
7,1725,1206,1735,1093,1830,1101,1821,1214,Others,0
8,1551,1400,1693,1222,1812,1317,1670,1495,Others,0
9,742,1443,826,1323,1025,1464,941,1583,Others,0
10,1173,1524,1418,1494,1432,1612,1187,1642,Others,0
