,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1322,362,1368,243,1648,349,1602,469,Others,0
1,821,304,993,261,1031,410,858,453,Others,0
2,1769,580,1874,580,1874,685,1769,685,Others,0
3,1807,650,1850,650,1850,702,1807,702,Others,0
4,1807,650,1917,650,1917,750,1807,750,Others,0
5,420,868,512,607,640,652,548,913,DC4S,0
6,1853,755,1950,755,1950,841,1853,841,Others,0
7,1879,851,1968,844,1973,912,1884,919,Others,0
8,1855,1265,1883,1107,1991,1126,1963,1284,Others,0
9,440,1235,571,1195,632,1398,501,1437,NAK,0
10,807,1722,845,1615,1106,1706,1068,1813,Others,0
11,1405,1673,1496,1673,1496,1775,1405,1775,Others,0
