,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1061,218,1245,212,1249,328,1065,334,Others,0
1,1516,394,1582,310,1806,488,1739,572,Others,0
2,493,649,579,516,663,571,578,704,Others,0
3,411,661,602,661,602,878,411,878,Others,0
4,1861,858,1988,851,1999,1060,1872,1067,NAK,0
5,407,863,521,858,540,1229,425,1235,ItemSize,0
6,462,1252,600,1252,600,1391,462,1391,Others,0
7,1595,1577,1789,1354,1879,1433,1685,1655,DC4S,0
8,593,1541,661,1450,860,1597,793,1688,Others,0
9,903,1630,1024,1630,1024,1740,903,1740,Others,0
10,1163,1673,1321,1673,1321,1802,1163,1802,Others,0
