,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,970,424,1105,390,1130,487,994,521,Others,0
1,812,419,999,419,999,616,812,616,Others,0
2,1465,536,1526,445,1650,528,1590,619,Others,0
3,650,709,835,506,913,577,729,781,Others,0
4,561,779,752,779,752,984,561,984,Others,0
5,578,1004,696,986,732,1213,613,1232,Others,0
6,627,1212,843,1212,843,1429,627,1429,Others,0
7,819,1418,957,1418,957,1557,819,1557,Others,0
8,1205,1544,1445,1505,1463,1612,1222,1651,Others,0
9,1034,1514,1174,1514,1174,1652,1034,1652,Others,0
