,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,856,494,996,424,1046,524,905,594,Others,0
1,1371,549,1409,434,1557,484,1519,598,Others,0
2,568,821,726,574,840,647,681,894,ItemSize,0
3,1654,739,1770,716,1801,871,1685,894,Others,0
4,1699,847,1774,822,1797,893,1722,918,Others,0
5,1719,881,1807,869,1817,937,1728,950,Others,0
6,551,900,690,900,690,1042,551,1042,Others,0
7,573,1107,678,1107,678,1198,573,1198,Others,0
8,567,1143,685,1114,734,1309,615,1338,Others,0
9,1617,1378,1687,1191,1810,1236,1739,1423,NAK,0
10,841,1595,877,1472,1016,1514,979,1636,Others,0
11,1244,1567,1475,1501,1507,1612,1275,1678,DC4S,0
