,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,877,478,1203,378,1238,493,912,594,ItemSize,0
1,750,576,873,484,959,599,837,691,Others,0
2,691,656,792,656,792,765,691,765,Others,0
3,612,853,661,695,775,730,727,888,Others,0
4,1702,800,1838,781,1860,935,1724,954,Others,0
5,520,1093,532,851,769,862,757,1105,Others,0
6,599,1142,723,1142,723,1273,599,1273,Others,0
7,1732,1190,1813,1190,1813,1271,1732,1271,Others,0
8,1673,1375,1707,1281,1773,1305,1739,1399,Others,0
9,814,1553,866,1443,1088,1547,1036,1657,DC4S,0
