,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1018,422,1214,387,1235,503,1039,539,NAK,0
1,1399,531,1475,425,1691,580,1616,685,DC4S,0
2,657,756,791,557,887,622,752,821,Others,0
3,650,824,667,746,763,767,746,845,Others,0
4,1696,829,1819,802,1849,943,1726,969,Others,0
5,1719,894,1824,879,1844,1019,1739,1034,Others,0
6,612,1123,618,1034,722,1042,716,1130,Others,0
7,621,1096,731,1096,731,1192,621,1192,Others,0
8,1662,1306,1691,1229,1784,1265,1754,1342,Others,0
9,1639,1273,1749,1273,1749,1383,1639,1383,Others,0
10,1587,1440,1597,1307,1703,1315,1693,1448,Others,0
11,1131,1529,1490,1474,1509,1594,1149,1649,ItemSize,0
