,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,913,407,1060,377,1086,509,939,538,Others,0
1,1319,481,1368,363,1585,452,1536,570,Others,0
2,1670,648,1732,648,1732,714,1670,714,Others,0
3,1684,691,1791,691,1791,796,1684,796,Others,0
4,560,872,660,616,800,670,700,926,DC4S,0
5,1727,792,1816,792,1816,878,1727,878,Others,0
6,1740,863,1836,863,1836,949,1740,949,Others,0
7,508,867,757,867,757,1122,508,1122,Others,0
8,1726,949,1843,932,1862,1067,1745,1084,Others,0
9,1732,1181,1738,1113,1820,1120,1814,1188,Others,0
10,576,1131,724,1093,776,1301,627,1338,Others,0
11,858,1549,896,1443,1129,1527,1091,1633,Others,0
12,1349,1502,1488,1467,1517,1586,1379,1621,Others,0
13,1104,1499,1308,1499,1308,1686,1104,1686,Others,0
