,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1118,409,1310,409,1310,519,1118,519,NAK,0
1,1468,585,1552,485,1727,633,1643,733,DC4S,0
2,657,728,855,495,951,577,752,809,Others,0
3,1608,654,1702,628,1724,709,1630,735,Others,0
4,624,761,758,761,758,900,624,900,Others,0
5,1746,937,1812,937,1812,980,1746,980,Others,0
6,1718,937,1839,937,1839,1051,1718,1051,Others,0
7,1595,994,1639,994,1639,1032,1595,1032,Others,0
8,604,1000,709,1000,709,1091,604,1091,Others,0
9,1730,1035,1820,1035,1820,1122,1730,1122,Others,0
10,1623,1391,1643,1339,1707,1363,1688,1415,Others,0
11,1584,1369,1675,1369,1675,1455,1584,1455,Others,0
12,1027,1635,1030,1510,1396,1520,1392,1644,ItemSize,0
