,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,522,136,632,121,641,188,531,203,NAK,0
1,790,223,831,166,953,253,913,310,DC4S,0
2,241,374,335,239,390,277,296,413,Others,0
3,206,408,296,408,296,503,206,503,Others,0
4,995,464,1055,464,1055,515,995,515,Others,0
5,999,493,1056,493,1056,538,999,538,Others,0
6,212,548,269,548,269,599,212,599,Others,0
7,204,575,278,567,289,668,215,676,Others,0
8,864,839,972,703,1032,750,924,886,Others,0
9,395,912,424,855,508,897,479,954,Others,0
10,583,918,779,900,785,964,590,983,ItemSize,0
