,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1082,413,1279,400,1287,516,1090,529,NAK,0
1,1434,561,1524,452,1743,633,1654,742,DC4S,0
2,634,768,819,511,934,594,749,851,Others,0
3,1699,906,1823,864,1864,988,1740,1029,Others,0
4,1746,991,1823,991,1823,1072,1746,1072,Others,0
5,607,986,721,986,721,1096,607,1096,Others,0
6,613,1042,726,1042,726,1147,613,1147,Others,0
7,1656,1355,1674,1308,1735,1331,1717,1379,Others,0
8,1630,1345,1703,1345,1703,1416,1630,1416,Others,0
9,1574,1405,1636,1405,1636,1472,1574,1472,Others,0
10,1078,1521,1436,1502,1442,1631,1085,1650,ItemSize,0
