,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,1159,502,1171,393,1442,423,1430,533,Others,0
1,798,562,943,454,1021,558,876,666,Others,0
2,1589,639,1692,572,1807,749,1704,816,NAK,0
3,1702,1231,1744,973,1875,994,1832,1252,DC4S,0
4,664,1205,746,1195,754,1259,672,1269,Others,0
5,676,1292,768,1232,881,1404,789,1464,ItemSize,0
6,791,1378,892,1352,925,1480,825,1506,Others,0
7,1482,1422,1645,1381,1675,1503,1512,1543,Others,0
8,1466,1456,1571,1456,1571,1563,1466,1563,Others,0
9,1021,1618,1038,1499,1265,1530,1249,1649,Others,0
