,x1,y1,x2,y2,x3,y3,x4,y4,category,difficult
0,832,312,998,257,1045,397,878,453,Others,0
1,1338,364,1386,244,1664,355,1616,475,Others,0
2,1785,592,1875,592,1875,683,1785,683,Others,0
3,420,860,520,595,654,646,555,910,DC4S,0
4,1877,769,1952,769,1952,836,1877,836,Others,0
5,1890,863,1975,853,1982,918,1897,928,Others,0
6,1861,946,2028,946,2028,1137,1861,1137,Others,0
7,1863,1279,1885,1112,1998,1127,1976,1294,Others,0
8,435,1219,588,1181,643,1402,490,1441,NAK,0
9,1379,1684,1571,1620,1610,1737,1417,1801,Others,0
10,803,1727,841,1613,1111,1703,1073,1817,Others,0
